0	38034
4097	55
2	2
41899	1
517	1
645127	1
39432	2
1879049	2
400727	1
186626	1
8502	1
441366	4
1196835	1
1855331	1
543	18
546	1
547	2
1	5
2126069	1
8637	1
2003121	1
91347	1
1578	2
157739	1
35884	1
35885	1
2072936	1
1437183	2
39947	1
562	19
3635	34
510516	1
647221	1
28216	1
103481	1
570	2
571	1
314145	1
7742	6
108981	1
591936	8
9483	10
9796	2
1706337	1
3656	1
9669	1
80972	2
47885	1
508771	1
42068	1
91061	1
390235	1
106589	1
127582	1
9823	5
91835	1
613	1
615	2
1034889	1
5820	3
85698	1
43768	1
147389	21
1001585	1
12916	1
380021	1
171638	1
8825	3
7957	1
1808001	3
9347	1
1841481	1
112262	8
8839	2
10376	1
136841	9
43147	2
1868482	1
3726	1
64144	3
6289	2
47763	1
516756	3
1191062	1
871575	2
4932	1
741155	2
1175663	1
7962	6
9157	1
1716	1
2080419	1
2004647	1
52904	2
1705	2
29466	1
2759	343
8364	3
210632	1
548	1
7998	1
61621	2
1718	4
29385	2
1825976	1
9913	16
10116	4
1245471	1
85692	2
202946	9
39107	3
1654	1
225991	1
1224	24
5833	2
35019	1
29388	1
1149133	1
720590	1
32561	2
1747	60
1236	8
1504981	1
3705	1
8996	1
34038	1
5851	1
9685	1
1245	1
222	3
74533	1
1760	1
9595	14
5861	2
119060	1
51665	1
5353	1
4679	1
273133	1
207598	884
2287	1
1737458	5
33011	2
1294143	1
9598	899
29430	99
158456	9
468	1
3711	1
7953	1
95486	2
4565	159
1280	56
186625	4
1282	7
500485	4
1286	1
9479	1
32008	6
32009	2
32523	1
32524	45
573826	1
34062	1
1296	1
4568	1
7955	9
37653	1
1301	3
310572	1
40324	1
9498	2
5850	2
286	185
287	13
2487072	1
32033	1
314146	192
1243	1
119045	1
28038	1
1830	1
60711	6
3880	1
297	2
300	17
9989	1
303	1
425264	1
425265	11
37682	2
319795	3
5854	1
9526	292
1420599	1
9528	13
31033	1
30596	1
418107	4
316	2
9534	22
253237	3
1652545	1
4615	1
9539	21
79684	2
9541	8
1350	2
80865	4
9544	73
9545	10
330	12
1335	1
41294	1
482957	1
169297	8
1437010	90
9555	16
340	1
1114967	1
1883	1
7994	1
1705310	1
4959	1
1680	1
314722	1
9531	11
291302	1
136849	1
332648	1
10090	89
76775	2
87882	18
10093	2
9031	3
2364787	1
215358	3
9593	9
930171	3
9596	26
9597	20
1182590	5
4479	1
9600	2
9601	126
33154	41
9604	195
9606	36331564
73098	1
30603	1
56716	10
83655	1
9615	2
30608	2
106648	1
526226	1
117571	190
45972	1
3747	1
251229	1
578455	1
72004	5
8090	19
145391	1
52124	1
61853	20
1648030	46
7493	1
9527	3
657316	1
657319	1
147368	1
147369	1
135621	3
1351	3
37293	2
399739	2
284592	8
133448	1
32525	2
314293	12
314295	28
28090	1
33213	477
868597	1
1270	3
909768	4
1612	2
305	1
1285583	4
1489872	9
359160	1
1898684	3
4564	151
469	43
470	4
4567	3
29656	1
99802	160
4571	1
4572	1
1069533	2
80864	2
4577	8
8080	1
354276	3
1091045	1
29760	1
1930532	1
36330	1
9895	3
338	2
131567	5
4081	3
1758194	1
112509	1
38654	1
59894	1
1274359	1
7764	2
506	2
1279	5
665913	1
488447	3
